date,month,weekday,energy_kWh
2025-01-01,1,2,127286.15238333332
2025-01-02,1,3,127657.0784833333
2025-01-03,1,4,81883.55671666666
2025-01-04,1,5,81891.73006666666
2025-01-05,1,6,127674.11883333331
2025-01-06,1,0,126826.6901166667
2025-01-07,1,1,126927.46215000004
2025-01-08,1,2,126695.94395000004
2025-01-09,1,3,127066.61819999992
2025-01-10,1,4,81486.63841666662
2025-01-11,1,5,81610.19496666665
2025-01-12,1,6,126519.32696666667
2025-01-13,1,0,126980.35978333335
2025-01-14,1,1,127109.49061666663
2025-01-15,1,2,126963.89896666663
2025-01-16,1,3,126807.76418333329
2025-01-17,1,4,80876.07619999997
2025-01-18,1,5,81208.0575
2025-01-19,1,6,126210.84621666658
2025-01-20,1,0,126565.66615
2025-01-21,1,1,125750.14588333346
2025-01-22,1,2,126679.58854999994
2025-01-23,1,3,126355.43114999997
2025-01-24,1,4,80339.5357
2025-01-25,1,5,80632.06428333337
2025-01-26,1,6,126385.04864999997
2025-01-27,1,0,125642.95023333331
2025-01-28,1,1,126496.6109333333
2025-01-29,1,2,125425.44486666672
2025-01-30,1,3,126011.04994999997
2025-01-31,1,4,80009.91998333338
2025-02-01,2,5,76305.2062833333
2025-02-02,2,6,121705.97265000001
2025-02-03,2,0,122603.76899999993
2025-02-04,2,1,121578.09884999998
2025-02-05,2,2,121991.08443333331
2025-02-06,2,3,122252.16269999999
2025-02-07,2,4,76168.59693333339
2025-02-08,2,5,75746.78751666666
2025-02-09,2,6,121547.90356666668
2025-02-10,2,0,121477.56451666667
2025-02-11,2,1,121441.2816166667
2025-02-12,2,2,121363.8528833333
2025-02-13,2,3,121310.28371666664
2025-02-14,2,4,75872.63794999999
2025-02-15,2,5,76054.55224999995
2025-02-16,2,6,121276.97728333331
2025-02-17,2,0,120960.37281666668
2025-02-18,2,1,121331.27123333335
2025-02-19,2,2,121866.79411666672
2025-02-20,2,3,121105.25703333343
2025-02-21,2,4,75802.00203333332
