month,weekday,mean,count,std
1,0,126503.91657083333,4,598.9593590727826
1,1,126570.92739583337,4,604.5308378191928
1,2,126610.20574333332,5,706.7223827611459
1,3,126779.5883933333,5,637.1282345530526
1,4,80919.14540333333,5,777.2758085640206
1,5,81335.51170416667,4,546.4773888328124
1,6,126697.33516666663,4,663.3218468933425
2,0,121417.67372083332,4,864.3990849777044
2,1,121360.99614583337,4,205.02563538789283
2,2,121570.61638749999,4,434.83548674054805
2,3,121316.79809583334,4,691.4312295506735
2,4,75807.08621666668,4,323.04722795438033
2,5,75947.19707916664,4,288.7102171041867
2,6,121418.24860833335,4,255.46595848538448
3,0,117619.25359999997,5,373.76294622677494
3,1,117736.29233333337,4,428.87893577766937
3,2,117792.96661666666,4,387.27400293608537
3,3,117877.96392499999,4,276.37499338733517
3,4,72068.63247083331,4,391.2264491295444
3,5,72273.81210333333,5,294.59334001504845
3,6,117854.26053666665,5,137.35199036945886
4,0,117733.86335000003,4,617.0962368353863
4,1,117560.22029333333,5,387.22374045614816
4,2,117860.48650666668,5,168.8108838766951
4,3,117634.49477083332,4,186.26492162985176
4,4,71770.30977916665,4,247.11957987213864
4,5,72141.56451250002,4,318.382608213116
4,6,117179.7079166667,4,105.41223187804707
5,0,120135.28120833336,4,534.9536036462749
5,1,120442.80669166667,4,415.0232496895671
5,2,120489.27969583333,4,524.4732354722693
5,3,120115.47308,5,415.97063958968226
5,4,74658.36115999999,5,265.7471987915286
5,5,74857.90343333331,5,251.1292250613041
5,6,120605.02231249999,4,192.63936164339177
6,0,127301.31013,5,957.4733308878474
6,1,127478.98299166671,4,417.77791055920994
6,2,127499.00206249996,4,1062.7448714509608
6,3,127556.06147916666,4,734.2316852580685
6,4,81334.33502916667,4,1351.6332908537206
6,5,81869.88861666666,4,1076.4510218531727
6,6,127361.73236666669,5,899.5048461845886
7,0,139807.40896250002,4,1710.5397569076695
7,1,140041.36893333338,5,1352.6199309220208
7,2,140005.80533,5,1084.4416298358208
7,3,139584.75427999996,5,1567.9365338456962
7,4,94147.26675833335,4,1469.969991880907
7,5,94735.85458333333,4,1163.073261268373
7,6,139499.66904583332,4,1377.3796345041417
8,0,136239.03973333334,4,1591.1083530405501
8,1,135707.3852,4,1054.895932039892
8,2,135525.13018749998,4,1379.4362196325492
8,3,135575.60632500003,4,1030.388245067661
8,4,90450.15218666667,5,1577.5633881512383
8,5,90154.36802666666,5,934.0277431717292
8,6,135680.09572,5,1749.0490370212592
9,0,121150.73962333333,5,241.81519659419217
9,1,121311.43071999999,5,373.22140082686406
9,2,121161.8733333333,4,234.28187868454685
9,3,120789.60372499996,4,212.1071113230451
9,4,75075.42193749998,4,632.1177572384499
9,5,75541.61416666665,4,415.298456723713
9,6,120817.65181666665,4,347.84242759405186
10,0,117816.94323333331,4,106.14732581279085
10,1,117676.10039999998,4,300.18362657284484
10,2,117469.11977666667,5,217.87145734613244
10,3,117305.21238666671,5,302.11150181039505
10,4,71944.68026999998,5,329.29032850361534
10,5,71971.96700833333,4,325.6662467465183
10,6,117681.8492041667,4,237.9238813651323
11,0,117868.60406666665,4,475.34333235487486
11,1,117705.139225,4,235.05211243453522
11,2,117761.81488333328,4,315.91793317137945
11,3,117634.45007083332,4,295.9239667583122
11,4,72047.11753749999,4,232.41939590118795
11,5,72236.43262666666,5,258.4791173828588
11,6,117974.54067000002,5,230.972899543728
12,0,124480.54624999998,5,590.5355327786173
12,1,124445.08233666667,5,724.3005405072972
12,2,124242.86533333334,5,353.45788250391877
12,3,124307.31677083332,4,729.4821584857216
12,4,78598.35196249999,4,247.9248418605342
12,5,78847.17068750001,4,451.9356542542118
12,6,124369.43987083333,4,644.7725270933826
