date,month,weekday,energy_kWh
2025-01-01,1,2,35250.98236666665
2025-01-02,1,3,34771.83921666666
2025-01-03,1,4,36378.615349999985
2025-01-04,1,5,37126.1277
2025-01-05,1,6,36638.408533333335
2025-01-06,1,0,36194.209016666675
2025-01-07,1,1,34360.561200000004
2025-01-08,1,2,37169.942633333325
2025-01-09,1,3,35975.06208333332
2025-01-10,1,4,35995.971699999995
2025-01-11,1,5,36744.308349999985
2025-01-12,1,6,35653.438566666664
2025-01-13,1,0,38706.40281666667
2025-01-14,1,1,37829.17768333334
2025-01-15,1,2,36893.55603333334
2025-01-16,1,3,37733.61273333333
2025-01-17,1,4,38186.962733333334
2025-01-18,1,5,37965.54848333335
2025-01-19,1,6,37527.70674999999
2025-01-20,1,0,38498.58959999999
2025-01-21,1,1,42274.24119999999
2025-01-22,1,2,37780.824183333345
2025-01-23,1,3,36789.50555
2025-01-24,1,4,40510.122549999985
2025-01-25,1,5,42192.488816666664
2025-01-26,1,6,38686.058616666654
2025-01-27,1,0,41448.03345
2025-01-28,1,1,39516.211566666665
2025-01-29,1,2,44040.24381666667
2025-01-30,1,3,42268.467166666655
2025-01-31,1,4,41245.596933333334
2025-02-01,2,5,41927.03034999999
2025-02-02,2,6,43349.69469999998
2025-02-03,2,0,42386.85249999999
2025-02-04,2,1,40383.2349
2025-02-05,2,2,41242.657450000006
2025-02-06,2,3,41981.105483333326
2025-02-07,2,4,44362.91726666664
2025-02-08,2,5,44169.624800000005
2025-02-09,2,6,41992.48760000001
2025-02-10,2,0,47150.92693333334
2025-02-11,2,1,46220.684483333316
2025-02-12,2,2,46097.11675
2025-02-13,2,3,49980.80470000001
2025-02-14,2,4,46070.836133333316
2025-02-15,2,5,46774.461149999996
2025-02-16,2,6,45899.59818333332
2025-02-17,2,0,49776.50965000002
2025-02-18,2,1,49239.88345000001
2025-02-19,2,2,48987.46673333332
2025-02-20,2,3,50112.123299999985
2025-02-21,2,4,50241.74
2025-02-22,2,5,47837.47938333334
2025-02-23,2,6,49610.28725000001
2025-02-24,2,0,52425.954933333334
2025-02-25,2,1,55272.00964999996
2025-02-26,2,2,52245.886083333324
2025-02-27,2,3,53642.904733333315
2025-02-28,2,4,52092.51439999999
2025-03-01,3,5,48585.39421666668
2025-03-02,3,6,45502.11001666669
2025-03-03,3,0,45941.59896666666
2025-03-04,3,1,48939.56704999999
2025-03-05,3,2,51942.971816666686
2025-03-06,3,3,51732.94441666665
2025-03-07,3,4,50758.075916666654
2025-03-08,3,5,53281.572066666675
2025-03-09,3,6,54359.46145
2025-03-10,3,0,49900.99291666667
